run_id,config_hash,delay_structure,spatial_structure,attenuation,gamma,seed,readout,source_class,source_dimension,data_dimension,max_order,arm,numerical_rank,operational_rank,nullity,operational_nullity,sigma_max,sigma_min_positive,restricted_sigma_min,kappa_positive,stable_rank,effective_rank,trace_information,rank_rel_1e-08,rank_rel_1e-10,rank_rel_1e-12
E1_20260824T221028Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,none,identical,equalized,0.0,9003,partial_leakage_eps0.1,full,264,288,5,factorial,48,48,216,216,2.812648137874577,2.519213408007532,2.519213408007532,1.116478710749291,43.25352925417245,47.927328016436824,342.17821782178197,48,48,48
E1_20260824T221028Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,none,identical,equalized,0.0,9003,partial_leakage_eps0.1,smooth_separable,24,288,5,factorial,12,8,12,16,2.804690332860148,0.0020469170181581908,0.0020469170181581908,1370.202264175711,5.8441549184380905,8.170657308452414,45.97180490579903,12,12,12
E1_20260824T221028Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,none,identical,equalized,0.0,9003,partial_leakage_eps0.1,localized_atoms,24,288,5,factorial,21,8,3,16,2.635869649516724,6.87327190713271e-11,6.87327190713271e-11,38349561680.82571,4.823406869684052,11.321014250148979,33.51210873975607,20,20,21
E1_20260824T221028Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,none,identical,equalized,0.0,9003,partial_leakage_eps0.1,orbit_tangent,24,288,5,factorial,24,12,0,12,2.0635809298849357,0.000428343429793968,0.000428343429793968,4817.585111268107,8.134740473757429,17.03413091121155,34.64070431999971,24,24,24
E1_20260824T221028Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,none,identical,equalized,0.0,9003,unresolved_sum,full,264,48,5,factorial,48,48,216,216,2.5803907073290633,2.3111866643630967,2.3111866643630967,1.1164787107492904,43.25352925417246,47.927328016436,288.0,48,48,48
E1_20260824T221028Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,none,identical,equalized,0.0,9003,unresolved_sum,smooth_separable,24,48,5,factorial,12,8,12,16,2.5730900265814585,0.0018778906544352153,0.0018778906544352153,1370.2022641756678,5.844154918438089,8.17065730845241,38.692935795714206,12,12,12
E1_20260824T221028Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,none,identical,equalized,0.0,9003,unresolved_sum,localized_atoms,24,48,5,factorial,21,8,3,16,2.418209891864893,6.305704319930814e-11,6.305704319930814e-11,38349560480.048416,4.82340686968405,11.321014250148979,28.206024855961395,20,20,21
E1_20260824T221028Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,none,identical,equalized,0.0,9003,unresolved_sum,orbit_tangent,24,48,5,factorial,24,10,0,14,1.8931785258145946,0.0003929725125948328,0.0003929725125948328,4817.585111268386,8.134740473757429,17.03413091121155,29.155926135999774,24,24,24
E1_20260824T221028Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,none,identical,equalized,0.0,9004,direct_only,full,264,48,5,factorial,48,24,216,240,1.0534400949959282,0.943538004669112,0.943538004669112,1.1164787107492904,43.25352925417247,47.927328016436,47.999999999999986,48,48,48
E1_20260824T221028Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,none,identical,equalized,0.0,9004,direct_only,smooth_separable,24,48,5,factorial,12,3,12,21,1.0504596045614962,0.0007666456493512071,0.0007666456493512071,1370.2022641757294,5.844154918438089,8.170657308452403,6.448822632619034,12,12,12
E1_20260824T221028Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,none,identical,equalized,0.0,9004,direct_only,localized_atoms,24,48,5,factorial,22,1,2,23,1.0024143058462924,4.5709460231169006e-10,4.5709460231169006e-10,2193012782.86098,5.62853776973867,11.454094317621411,5.655748601056041,21,22,22
E1_20260824T221028Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,none,identical,equalized,0.0,9004,direct_only,orbit_tangent,24,48,5,factorial,24,0,0,24,0.7728868967067042,0.00016043035646612355,0.00016043035646612355,4817.585111268558,8.13474047375743,17.03413091121155,4.859321022666625,24,24,24
E1_20260824T221028Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,none,identical,equalized,0.0,9004,resolved,full,264,288,5,factorial,48,48,216,216,2.5803907073290646,2.311186664363095,2.311186664363095,1.116478710749292,43.25352925417243,47.92732801643674,288.00000000000006,48,48,48
E1_20260824T221028Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,none,identical,equalized,0.0,9004,resolved,smooth_separable,24,288,5,factorial,12,8,12,16,2.573090026581457,0.0018778906544351301,0.0018778906544351301,1370.2022641757292,5.844154918438092,8.170657308452418,38.69293579571419,12,12,12
E1_20260824T221028Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,none,identical,equalized,0.0,9004,resolved,localized_atoms,24,288,5,factorial,22,9,2,15,2.455403560189612,1.1196485373623957e-09,1.1196485373623957e-09,2193012787.7216825,5.628537769738669,11.454094317621417,33.93449160633622,21,22,22
E1_20260824T221028Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,none,identical,equalized,0.0,9004,resolved,orbit_tangent,24,288,5,factorial,24,10,0,14,1.893178525814594,0.0003929725125948118,0.0003929725125948118,4817.585111268641,8.134740473757434,17.03413091121155,29.155926135999767,24,24,24
E1_20260824T221028Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,none,identical,equalized,0.0,9004,partial_leakage_eps0.1,full,264,288,5,factorial,48,48,216,216,2.812648137874577,2.519213408007532,2.519213408007532,1.116478710749291,43.25352925417245,47.927328016436824,342.17821782178197,48,48,48
E1_20260824T221028Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,none,identical,equalized,0.0,9004,partial_leakage_eps0.1,smooth_separable,24,288,5,factorial,12,8,12,16,2.804690332860148,0.0020469170181581908,0.0020469170181581908,1370.202264175711,5.8441549184380905,8.170657308452414,45.97180490579903,12,12,12
